title,company,site,it_role_type,city,final_tech_stack
"Intern, Data Engineer",Grab,LinkedIn,Data Engineer,Hồ Chí Minh,"Aws, Scala, Sql, Python"
Intern / Fresher,Sun* Vietnam,LinkedIn,Intern,Hà Nội,
AI/GenAI Internship,Hitachi Digital Services,LinkedIn,AI Engineer,Hồ Chí Minh,"Aws, Agile, Python"
MB Trainee - BackEnd Engineer,MBBank,LinkedIn,Backend Developer,Hà Nội,"Java, Sql, Docker"
"[HCM, Regional Craftland] Cộng tác viên Game Developer",Garena,LinkedIn,Game Developer,Hồ Chí Minh,"Lua, Javascript, Python"
THỰC TẬP SINH PYTHON CHO NGÀNH XÂY DỰNG,Cemcons,LinkedIn,Other IT Role,Not Specified,Python
Software Developer,Azeus Systems Limited,LinkedIn,Software Developer,Hồ Chí Minh,Java
"Intern, Data Engineer",Grab Financial Group,LinkedIn,Data Engineer,Hồ Chí Minh,"Aws, Scala, Sql, Python"
Student Web Developer,Ignify,LinkedIn,Web Developer,Hà Nội,"Php, Javascript"
Thực tập sinh PHP,VNP Group,LinkedIn,Intern,Hà Nội,"Php, Html, Css"
Software Engineer Intern,ZALORA Group,LinkedIn,Software Engineer,Hồ Chí Minh,"Aws, Agile, Sql"
Software Engineer Intern - QA,ShopBack,LinkedIn,Software Engineer Intern,Hồ Chí Minh,
Data Engineer Intern,Schaeffler,LinkedIn,Data Engineer Intern,Not Specified,"Sql, Python"
Backend Developer Intern,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Docker, Python, Nodejs, Java"
Coders - AI Training [Remote],Braintrust,LinkedIn,Other IT Role,Hồ Chí Minh,"Typescript, Verilog, Javascript, C++, Go, Python, Java, C#, Swift"
Frontend Engineer - HCM,TechX Corp.,LinkedIn,Frontend Developer,Hồ Chí Minh,"React, Html, Javascript, Css"
UI Frontend Engineer,NAVER VIETNAM,LinkedIn,Frontend Developer,Hồ Chí Minh,"Html, Javascript, Css"
Software Engineer,Hubble.Build,LinkedIn,Backend Developer,Hồ Chí Minh,"Go, Ruby"
[Bình Dương] Giáo viên coding,Logiscool Vietnam,LinkedIn,Other IT Role,Bình Dương,"C++, Python"
DevOps Engineer Intern,KNOREX,LinkedIn,DevOps Engineer,Hồ Chí Minh,Aws
Thực tập sinh Blockchain Developer,"FTECH CO., LTD",LinkedIn,Blockchain Developer,Hà Nội,"Go, Javascript, Rust"
ServiceNow Fresher,DXC Technology Vietnam,LinkedIn,Not Specified,Hồ Chí Minh,Javascript
Intern Backend Dev,ISB Vietnam Company (IVC),LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Python, C++"
FrontEnd Developer,QT-Data,LinkedIn,Frontend Developer,Not Specified,Python
[HCM] Junior Java Developer,WAO,LinkedIn,Java Developer,Hồ Chí Minh,"Java, Sql"
Intern C#,Kaopiz,LinkedIn,Intern C#,Hà Nội,C#
Thực tập/Học việc Lập trình viên .Net Core & Oracle,FPT Securities JSC (FPTS),LinkedIn,Backend Developer,Hà Nội,C#
Thực tập sinh PHP,Tigren,LinkedIn,Other IT Role,Hà Nội,"Php, Html"
Junior Webmaster Intern,TRG International,LinkedIn,Other IT Role,Hồ Chí Minh,"Html, Javascript, Css"
Binance Accelerator Program - Frontend Developer,Binance,LinkedIn,Frontend Developer,Hồ Chí Minh,"React, Html, Javascript, Css"
Quality Control Fresher / Junior,Kegmil,LinkedIn,Quality Assurance Engineer,Hồ Chí Minh,"Typescript, Javascript"
Intern,V-Key - Stronger with V-OS,LinkedIn,Other IT Role,Hồ Chí Minh,"Docker, Not Specified"
Java Back-End Engineer,Relia Software - Reliable Software Development Company,LinkedIn,Backend Developer,Hồ Chí Minh,Java
Saga Vietnam Hackathon 2025,VBI Academy,LinkedIn,Not Specified,Not Specified,
ReactJS Developer,Saigon Technology - Accelerate Software Development,LinkedIn,Frontend Developer,Đà Nẵng,"Aws, Agile, Javascript"
Frontend Software Engineer,Upskills,LinkedIn,Frontend Developer,Hồ Chí Minh,"React, Javascript"
Software Engineer Intern - QA,ShopBack,LinkedIn,Software Engineer,Hồ Chí Minh,
[HN] JUNIOR DEVELOPER,TEKY ACADEMY,LinkedIn,Developer,Hà Nội,"Php, Python, Ruby"
Ruby on Rails Intern,Golden Owl Solutions,LinkedIn,Not Specified,Hồ Chí Minh,"Html, Sql, Ruby, Css"
AI/GenAI Internship,Hitachi Consulting ( formerly Information Management Group),LinkedIn,AI Engineer,Hồ Chí Minh,"Aws, Agile, Python"
Fresh Game Designer,Sun Studio,LinkedIn,Game Developer,Hồ Chí Minh,
Mobile Developer Intern,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Mobile Developer,Hồ Chí Minh,"Java, Dart, Swift, Kotlin"
Junior Frontend Engineer,NAVER VIETNAM,LinkedIn,Frontend Developer,Hồ Chí Minh,"Docker, Javascript"
Software Engineer,Hubble.Build,LinkedIn,Frontend Developer,Hồ Chí Minh,Javascript
Swift Coders - AI Training [Remote],Braintrust,LinkedIn,Other IT Role,Not Specified,"Typescript, Javascript, C++, Go, Python, Java, C#, Swift"
Consumer Operation System Intern,ShopBack,LinkedIn,Other IT Role,Hồ Chí Minh,
Web App Developer,Samsung Electronics HCMC CE Complex,LinkedIn,Web App Developer,Hồ Chí Minh,"Typescript, Javascript, Html/Css, Css"
Frontend Engineer,Moatable,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, React, Python, Html/Css, Html, Css"
HCM – Junior Fullstack Developer,Vexere.com - Vietnam's largest online bus ticketing platform,LinkedIn,Fullstack Developer,Hồ Chí Minh,"Docker, React, Typescript, Javascript"
WordPress Developer Internship,TRG International,LinkedIn,Other IT Role,Hồ Chí Minh,"Php, Html, Css"
React Js Developer,Dayone Technologies,LinkedIn,Frontend Developer,Hồ Chí Minh,"Javascript, Agile, React, Html, Css"
Kỹ sư Phát triển Front-end,Viettel High Tech,LinkedIn,Frontend Developer,Hà Nội,"Html, Javascript, Html/Css, Css"
Thực tập sinh Dotnet,Công Ty TNHH Một Thành Viên Công Nghệ Và Truyền Thông 3i,LinkedIn,Other IT Role,Hà Nội,C#
Developer cho website/ứng dụng,CT,LinkedIn,Developer,Hồ Chí Minh,Javascript
Auslandspraktikum in der Softwareentwicklung im Bauwesen,GSI Software,LinkedIn,Other IT Role,Hồ Chí Minh,
Java Developer,GSOFT,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Javascript, Java, Html, Css"
Junior Developer,SCC,LinkedIn,Junior Developer,Hồ Chí Minh,"Java, Agile, Javascript, Python"
Software Engineer,Keyloop,LinkedIn,Software Engineer,Not Specified,"Javascript, Agile, Aws, React, Php, Html, Css"
Java Software Engineer,ADI Vietnam,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Html, Docker"
Java Developer Junior,NMS,LinkedIn,Java Developer,Hà Nội,"Java, Sql, Docker"
MB Trainee - AI Engineer,MBBank,LinkedIn,AI Engineer,Hà Nội,"Docker, C/C++, Python"
Full Stack Engineer,Formo,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Javascript, Sql"
[HN] JUNIOR DEVELOPER,TEKY ACADEMY,LinkedIn,Junior Developer,Hà Nội,"Php, Python, Ruby"
Junior Frontend Engineer,NAVER VIETNAM,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Docker, Javascript, Html/Css, Html, Css"
Nhân viên Tester tiếng Anh,Công Ty Cổ Phần Trung Tín,LinkedIn,QA Engineer,Hồ Chí Minh,
Java Developer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Java Developer,Hồ Chí Minh,Java
Coders - AI Training [Remote],Braintrust,LinkedIn,AI Engineer,Not Specified,"Typescript, Javascript, C++, Go, Python, Java, C#, Swift"
[HÀ NỘI] THỰC TẬP SINH/CỘNG TÁC VIÊN TESTER,TEKY ACADEMY,LinkedIn,Tester,Hà Nội,Sql
TUYỂN DỤNG LẬP TRÌNH PHP,VCCORP,LinkedIn,Backend Developer,Hà Nội,Php
Cloud Engineer Intern,Noventiq Vietnam,LinkedIn,Cloud Engineer,Hà Nội,Not Specified
Tuyển lập trình viên Java tháng 4-2018,NMS,LinkedIn,Backend Developer,Hà Nội,"Java, Php, Javascript"
Software Engineer,Hubble.Build,LinkedIn,Software Engineer,Hồ Chí Minh,"React, Javascript"
HN - Junior Frontend Developer,Fetch Technology Vietnam,LinkedIn,Frontend Developer,Hà Nội,"React, Typescript, Javascript, Css"
Thực tập sinh Web,Savvycom - Software Product Development,LinkedIn,Web/Mobile Intern,Hà Nội,"C++, Python, Java, Php, C#, Ruby"
Java Developer ~ $2500,Stringee Vietnam,LinkedIn,Backend Developer,Hà Nội,"Java, Docker"
Middle Java Developer,UNIT Technology Corporation,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Javascript, React, Java, Agile"
Frontend Engineer,WorldQuant,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Sql, Javascript, React, Python, Html/Css, Html, Css"
Frontend Developer,Relia Software - Reliable Software Development Company,LinkedIn,Frontend Developer,Not Specified,"Javascript, React, Html/Css, Html, Css"
Software Engineer,SCC,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Agile, Javascript, Python"
Software Engineer,Intrepid Asia,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Aws, Sql"
Java Web Developer,MOR Software JSC,LinkedIn,Java Developer,Hà Nội,"Java, Aws, Docker"
Java Software Engineer,MTA Solutions VN,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Docker"
Giảng Viên Khoá Học AI For Work,MindX Technology School,LinkedIn,Not Specified,Hà Nội,Not Specified
Java Developer,Aperia,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Javascript, Agile, Aws, React, Python, Java, Html, Css"
FULLSTACK DEVELOPER EXECUTIVE,Shondo,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Html5, Sql, Javascript, Python, Java, Php, Html, Css"
Junior Developer,SOCOTEC,LinkedIn,Junior Developer,Hà Nội,"Sql, Javascript, Xml"
Java Developer,CMC Global Company Limited.,LinkedIn,Java Developer,Hà Nội,"Java, Agile"
Fresher Business Development,PowerGate Group,LinkedIn,Business Analyst,Hà Nội,"Agile, Not Specified"
Junior Frontend Engineer,NAVER VIETNAM,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Docker, Javascript, Html, Css"
Fresher Mobile,"KMS Technology, Inc.",LinkedIn,Mobile Developer,Hồ Chí Minh,"React, Javascript"
HCM – Junior Back-end Developer,Vexere.com - Vietnam's largest online bus ticketing platform,LinkedIn,Backend Developer,Hồ Chí Minh,"Docker, Agile, Node.Js"
Kỹ sư Phát triển phần mềm,Viettel High Tech,LinkedIn,Software Engineer,Hà Nội,"Sql, C, Javascript, C++, React, Java, Golang"
[LTS] Thực tập sinh Training Automation-Manual Tester,LTS Group,LinkedIn,Intern Tester,Hà Nội,
Data Engineer Intern,ActiveFence,LinkedIn,Data Engineer Intern,Hà Nội,"Aws, Python"
Fullstack Software Engineer,"ELSA, Corp",LinkedIn,Full-stack Developer,Hồ Chí Minh,"Aws, Javascript, Python"
AI Engineer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,AI Engineer,Hà Nội,"Docker, C/C++, Python"
Software Engineer,Hubble.Build,LinkedIn,Software Engineer,Hồ Chí Minh,Javascript
Frontend Developer,NMS,LinkedIn,Frontend Developer,Hà Nội,"Docker, Javascript, Python, Html, Css"
Front End Developers - AI Training [Remote],Braintrust,LinkedIn,Frontend Developer,Not Specified,"Javascript, C++, Go, Python, Java, C#, Swift"
Node JS Developer,Dayone Technologies,LinkedIn,Backend Developer,Hồ Chí Minh,"Docker, Aws, Javascript"
Java Software Engineer,CMC Global Company Limited.,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Sql, Docker, Css"
Lập trình viên.NET,Công ty Cổ phần Truyền thông IRIS,LinkedIn,Backend Developer,Hà Nội,C#
Java Engineer,ELCA Vietnam,LinkedIn,Java Engineer,Hồ Chí Minh,"Sql, Docker, Javascript, Agile, Java, Html, Css"
Python Developer,Relia Software - Reliable Software Development Company,LinkedIn,Backend Developer,Not Specified,"Aws, Typescript, Python"
HN - Junior Reactjs/ Junior Nodejs - 800$,Fetch Technology Vietnam,LinkedIn,Frontend Developer,Hà Nội,"Typescript, Sql, Docker, Javascript, React, Css"
Java Engineer,Tenomad Company,LinkedIn,Java Engineer,Not Specified,"Java, Aws"
Java Developer,AMELA Technology,LinkedIn,Java Developer,Hà Nội,"Java, Aws, Sql"
Junior/Middle Frontend Developer,Zalopay,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, React, Agile, Css"
Developer,Endava,LinkedIn,Developer,Hồ Chí Minh,"Java, Agile, Sql, Kotlin"
Java Developer,Kegmil,LinkedIn,Java Developer,Hồ Chí Minh,"Java, Agile, Python"
Java Developer,SQREEM Technologies,LinkedIn,Java Developer,Hồ Chí Minh,"Java, Html, Javascript, Css"
[HN_Hybrid]_Java Engineer,Sun* Vietnam,LinkedIn,Java Engineer,Hà Nội,"Docker, Javascript, Agile, Aws, Java, Html, Css"
Game UI/UX Designer,Amanotes,LinkedIn,Game Developer,Hồ Chí Minh,
Java Developer,ADI' Client,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, Javascript, Docker, Css"
Fresher Mobile,"KMS Technology, Inc.",LinkedIn,Mobile Developer,Hồ Chí Minh,"React, Javascript"
"Junior Android Engineer - Hybrid working model 100%, Ho Chi Minh City",SMG Vietnam,LinkedIn,Mobile Developer,Hồ Chí Minh,"Java, Agile, Kotlin"
Frontend Engineer,Moatable,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, React, Python, Html, Css"
Tuyển dụng vị trí lập trình viên,NMS,LinkedIn,Software Engineer,Hà Nội,"Sql, Angularjs, Nodejs, Java, Php"
Junior Android Developer,Apero Technologies Group,LinkedIn,Mobile Developer,Đà Nẵng,"Java, Agile, Kotlin"
[HN] Software Engineer,Base Careers,LinkedIn,Software Engineer,Hà Nội,"Php, Javascript"
Low-Code Developer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Low-Code Developer,Hồ Chí Minh,"Html, Javascript, Sql, Css"
Automation Software Engineer,MiTek Vietnam,LinkedIn,Automation Software Engineer,Hồ Chí Minh,"Html, Docker, Javascript, Agile, Python, C#"
C/C++ Developer,LOTTE Innovate Viet Nam,LinkedIn,C/C++ Developer,Hà Nội,"C++, Javascript, C, Java"
Chuyên viên Vận Hành Hệ Thống Core Chứng Khoán,Mirae Asset Securities (Vietnam),LinkedIn,Other IT Role,Hồ Chí Minh,"Java, C++"
Software Engineer,WorldQuant,LinkedIn,Software Engineer,Hồ Chí Minh,Python
Fullstack Developer,CMC Global Company Limited.,LinkedIn,Fullstack Developer,Đà Nẵng,"Java, Agile, Javascript"
[Hà Nội] Fullstack,Kaopiz,LinkedIn,Fullstack Developer,Hà Nội,"Aws, Java, React, Javascript"
Junior Backend Developer,Fetch Technology Vietnam,LinkedIn,Backend Developer,Hà Nội,"Docker, Typescript, Node.Js, Sql"
"Intern, Engineering and Technology",Coherent Corp.,LinkedIn,Other IT Role,Not Specified,
Java Software Engineer,EV Search's Fintech Partner,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Sql"
Pioneer Talent Program - Frontend Engineer,Binance,LinkedIn,Frontend Developer,Hồ Chí Minh,"React, Javascript"
Frontend Engineer,NAVER VIETNAM,LinkedIn,Frontend Developer,Hồ Chí Minh,Javascript
Full Stack Software Engineer,OptiSigns Inc.,LinkedIn,Full-stack Developer,Hồ Chí Minh,"React, Typescript, Javascript"
[MEP team] Game Designer,Amanotes,LinkedIn,Game Developer,Hồ Chí Minh,Agile
Chuyên viên chính Trí tuệ nhân tạo,Viettel High Tech,LinkedIn,AI Engineer,Hà Nội,"C++, Python, Java"
BrSE,RIVERCRANE VIETNAM,LinkedIn,IT Project Manager,Hồ Chí Minh,"Java, Php"
Frontend developer,MealSuite,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, React, Html/Css, Html, Css"
Java Developer,Murex,LinkedIn,Java Developer,Hồ Chí Minh,"Java, Agile"
Software Engineer,Copado,LinkedIn,Software Engineer,Hồ Chí Minh,"Aws, Java, React, Javascript"
Software Engineer - Frontend,ShopBack,LinkedIn,Frontend Developer,Hồ Chí Minh,"Html, Javascript, Typescript, Css"
"Junior Android Engineer - Hybrid working model 100%, Ho Chi Minh City",SMG Vietnam,LinkedIn,Junior Android Engineer,Hồ Chí Minh,"Java, Agile, Kotlin"
Lập Trình Viên PHP 7~15 triệu,Hoà Bình House,LinkedIn,Backend Developer,Hồ Chí Minh,Php
MMORPG Game Developer,Nexon Networks Vina,LinkedIn,Game Developer,Hồ Chí Minh,
Associate Java Engineer,ELCA Vietnam,LinkedIn,Java Engineer,Hồ Chí Minh,"Javascript, Agile, Java, Html, Css"
Binance Accelerator Program - Backend Engineer,Binance,LinkedIn,Backend Engineer,Hồ Chí Minh,"Go, Python"
C++ Graphics Programmer,TechChup Vietnam,LinkedIn,C++ Graphics Programmer,Hồ Chí Minh,C++
"Kỹ sư CNTT: PHP/JAVA Developer, IT phần cứng mạng",NMS,LinkedIn,Backend Developer,Hà Nội,"Php, Sql"
Chuyên viên Lập Trình PHP,Công Ty Cổ Phần Truyền Thông VMG,LinkedIn,Backend Developer,Hà Nội,Php
Java Software Engineer,Viettel Digital,LinkedIn,Software Engineer,Hà Nội,"Java, Sql"
Java Developer,EL4 - Software Studio,LinkedIn,Java Developer,Hồ Chí Minh,"Java, Aws, Sql"
Lập Trình Viên Fullstack Developer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Sql, Javascript, React, Python, Php, Css"
Nhân viên kỹ thuật,Khách sạn Sầm Sơn,LinkedIn,Other IT Role,Hồ Chí Minh,
Java Developer,Axon Active - Agile Software Development Company,LinkedIn,Java Developer,Can Tho,"Java, Agile"
Software Engineer,VNG Corporation,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Docker, Go, Java, Agile"
Bridge Software Engineer up to $3000,CO-WELL Asia,LinkedIn,Bridge Software Engineer,Hà Nội,"Aws, React, Javascript"
Full Stack AI and Web Developer,East Agile,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Javascript, Agile, Python, Html, Ruby, Css"
Junior/Middle Flutter Developer ~1000$,Braly Joint Stock Company,LinkedIn,Mobile Developer,Hà Nội,"Java, Dart, Swift"
Junior QC Engineer,LOGIX TECHNOLOGY,LinkedIn,QA Engineer,Hồ Chí Minh,"Sql, Javascript, Agile, Html/Css, Html, Css"
Frontend Engineer,CODE LEAP,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, Aws, React, Agile"
Software Engineer,Caladan,LinkedIn,Software Engineer,Hồ Chí Minh,"Agile, C++, Python, Java, C#"
Frontend Developer,HCLTech Vietnam,LinkedIn,Frontend Developer,Hồ Chí Minh,"Aws, Typescript, Javascript, Agile"
Thực Tập Triển Khai Phần Mềm,VnResource,LinkedIn,Other IT Role,Hà Nội,
Software Engineer,Hubble.Build,LinkedIn,Software Engineer,Hồ Chí Minh,"Golang, Ruby"
Staff/Principal Web Engineer,Cake by VPBank - Digital Bank,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript"
Fullstack Developer,VNDIRECT Securities Corporation,LinkedIn,Fullstack Developer,Hà Nội,"Sql, Javascript, React, Java, Agile"
Blockchain Front-End Developer,Beincom,LinkedIn,Frontend Developer,Hồ Chí Minh,"React, Html, Typescript, Css"
Lập Trình Viên PHP 7~15 triệu,Hoà Bình House,LinkedIn,Backend Developer,Hồ Chí Minh,Php
DevOps Engineer Intern,KMS Healthcare,LinkedIn,DevOps Engineer Intern,Đà Nẵng,"Agile, Not Specified"
Cộng tác viên Kiểm thử chất lượng/Tester,VinBigdata,LinkedIn,QA Engineer,Hà Nội,Agile
Junior/Mid Fullstack Engineer,SMG Vietnam,LinkedIn,Fullstack Developer,Hồ Chí Minh,"Typescript, Javascript, Aws, React, Agile"
Frontend Engineer,Moatable,LinkedIn,Frontend Developer,Hồ Chí Minh,"Javascript, Aws, React, Html/Css, Html, Css"
Software engineer - F/M/X,Mantu,LinkedIn,Software Engineer,Hồ Chí Minh,"C#, Agile"
Lập trình viên JAVA,NMS,LinkedIn,Backend Developer,Hà Nội,Java
Java Software Engineer,Clevai Edtech Group,LinkedIn,Java Software Engineer,Hồ Chí Minh,"React, Python, Java, Php, Agile"
【教育事業】フロントエンドエンジニア,ドワンゴ,LinkedIn,Frontend Developer,Hồ Chí Minh,"React, Html, Javascript, Css"
Next JS Programmer,Straits Financial Group,LinkedIn,Frontend Developer,Hồ Chí Minh,"Html5, Javascript, Python, Css"
Java Software Engineer,CMC Global Careers,LinkedIn,Backend Developer,Hà Nội,"Java, Agile"
Lập Trình Viên,Công ty Cổ phần Viễn thông 3G,LinkedIn,Software Engineer,Hà Nội,"Php, .Net"
Pioneer Talent Program - Smart Contract Security Engineer,Binance,LinkedIn,Smart Contract Security Engineer,Hồ Chí Minh,"Go, Solidity"
Kỹ Sư Phát Triển BackEnd - Java Backend Developer,MBBank,LinkedIn,Backend Developer,Hà Nội,"Java, Sql, Docker"
Web App Developer,Samsung Southeast Asia & Oceania,LinkedIn,Web App Developer,Hồ Chí Minh,"Html5, Typescript, Javascript, Css"
Kỹ sư chính Phát triển phần mềm,Viettel High Tech,LinkedIn,Software Engineer,Hà Nội,Not Specified
Frontend Developer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, Javascript, Agile"
Leader Fullstack Software Engineer,WALA-ICT,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Sql, Javascript, Agile, React, Java, Html, Css"
Frontend Developer,Shuffle Up,LinkedIn,Frontend Developer,Not Specified,
SENIOR FRONT-END ENGINEER,Orient Software Development Corp.,LinkedIn,Frontend Developer,Hồ Chí Minh,"Typescript, React"
Client Engineer Intern,IBM,LinkedIn,Other IT Role,Hồ Chí Minh,
Pre Post Solution Sales Engineer -Product: Access Security Control: Face Recognition/Turntile/Lift Control,HiDeComp,LinkedIn,Other IT Role,Hồ Chí Minh,
Backend Engineer,NAVER VIETNAM,LinkedIn,Backend Developer,Hồ Chí Minh,"Java, React, Javascript, Kotlin"
Java Backend Developer,GlobeHire,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Docker, Javascript, Agile, Aws, Java, Html, Css"
Java Backend,Viettel Post,LinkedIn,Backend Developer,Hà Nội,Java
Associate Software Engineer,OPSWAT,LinkedIn,Software Engineer,Hồ Chí Minh,"Docker, C++, C#, Python"
DevOps Engineer Intern,KMS Healthcare,LinkedIn,DevOps Engineer,Đà Nẵng,"Agile, Not Specified"
Junior/Mid Fullstack Engineer,SMG Vietnam,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Javascript, Aws, React, Agile"
Full Stack Developer,VIETSWISS,LinkedIn,Full-stack Developer,Hồ Chí Minh,
Frontend Engineer,Moatable,LinkedIn,Frontend Developer,Hồ Chí Minh,"Javascript, Aws, React, Html, Css"
Software Engineer,NAGAKAWA,LinkedIn,Software Engineer,Hà Nội,"Java, Python"
"Senior Full-stack Developer, Zvideo",Zalo,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Sql, Javascript, React, Java, Html, Css"
Frontend Engineer,Trucker Path,LinkedIn,Frontend Developer,Not Specified,"Typescript, Javascript, React, Html/Css, Html, Css"
Backend Engineer,Trusting Social,LinkedIn,Backend Developer,Hồ Chí Minh,"Sql, Node.Js, Go, React, Python, Java, C#"
IT Developer,Casper Vietnam,LinkedIn,Software Engineer,Hà Nội,"Aws, Typescript, Javascript, Sql"
Java Backend/Fullstack-OS,TTC Technology Solutions,LinkedIn,Backend Developer,Hà Nội,"Java, Agile, Sql, Docker"
Software Engineer,Binance,LinkedIn,Software Engineer,Hồ Chí Minh,"Java, Python"
Python Microservices Engineer,UAB Coded,LinkedIn,Backend Developer,Not Specified,"Docker, Html, Javascript, Python"
FULL STACK REACT DEVELOPER,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Docker, Javascript, Aws, Html, Css"
Backend Engineer,NAVER VIETNAM,LinkedIn,Backend Developer,Hồ Chí Minh,Java
Lập trình viên IT,Công ty Cổ phần Viễn thông 3G,LinkedIn,Software Engineer,Hà Nội,"Java, Javascript, Python, Sql"
Java Software Engineer,Oursoucing for Bank,LinkedIn,Software Engineer,Hà Nội,"Java, Aws, Agile, Sql"
Full Stack Developer,Aperia,LinkedIn,Full Stack Developer,Hồ Chí Minh,".Net, Sql, Javascript, React, Agile"
Odoo/Python developers,Trobz,LinkedIn,Odoo Developer,Hồ Chí Minh,"Agile, Python"
Software Developers,Netcompany,LinkedIn,Software Developer,Hồ Chí Minh,"Sql, Javascript, React, Java, Agile"
Kỹ Sư Cầu Nối BrSE,BAP IT JSC,LinkedIn,BrSE,Hồ Chí Minh,Japanese
Intern Security Engineer,AvePoint,LinkedIn,Intern Security Engineer,Hà Nội,"Javascript, Aws, Python, Java, C#"
Shopify Frontend Developer,Lovepop,LinkedIn,Frontend Developer,Hồ Chí Minh,"Javascript, React, Html/Css, Html, Css"
Software Engineer,NFQ,LinkedIn,Software Engineer,Đà Nẵng,"Javascript, React, Php, Html, Css"
Java Developer,AMELA Careers,LinkedIn,Java Developer,Hà Nội,"Java, Aws, Sql"
System/ Network/AV Engineer up to 30M,Infosys Việt Nam,LinkedIn,System/Network Engineer,Hà Nội,Not Specified
Senior .Net Fullstack Engineer,LOGIX TECHNOLOGY,LinkedIn,Full-stack Developer,Hồ Chí Minh,"Typescript, Sql, Docker, Javascript, Agile, Aws, Html/Css, C#, Css"
Junior/Mid Fullstack Engineer,SMG Vietnam,LinkedIn,Fullstack Developer,Hồ Chí Minh,"Typescript, Javascript, Aws, React, Agile"
LẬP TRÌNH VIÊN PHP,vietnam,LinkedIn,Backend Developer,Hồ Chí Minh,Php
Binance Accelerator Program - Android Engineer,Binance,LinkedIn,Mobile Developer,Hồ Chí Minh,"Java, React, Kotlin"
Nhân Viên Triển Khai Phần Mềm – Khu Vực Miền Nam,Vexere.com - Vietnam's largest online bus ticketing platform,LinkedIn,Software Implementation Staff,Hồ Chí Minh,
[HCM] QC Engineer,Ahamove,LinkedIn,QA Engineer,Hồ Chí Minh,Not Specified
Manual Tester,ekino Vietnam,LinkedIn,QA Engineer,Hồ Chí Minh,Html
[iKame Apps] Backend Developer,iKame Global,LinkedIn,Backend Developer,Hà Nội,"Docker, Aws, Javascript"
Japanese jobs at FPT Software Vietnam & Japan,FPT Corporation,LinkedIn,Business Analyst,Not Specified,Aws
Frontend Engineer,Trucker Path,LinkedIn,Frontend Developer,Not Specified,"Typescript, Javascript, React, Html/Css, Html, Css"
Embedded Software Engineer,Hitachi Digital Services,LinkedIn,Embedded Engineer,Hồ Chí Minh,"C++, Agile, C"
Game Developer,ĐÚNG NGƯỜI ĐÚNG VIỆC Community,LinkedIn,Game Developer,Hà Nội,"Lua, C++, Java, Agile, Swift"
Human resource staff,Công Ty TNHH BBQ Việt Nam,LinkedIn,Other IT Role,Hồ Chí Minh,Java
React Developer,Evizi,LinkedIn,Frontend Developer,Đà Nẵng,"React, Typescript, Javascript, Css"
Junior AI Software Developer,AvePoint,LinkedIn,AI Engineer,Đà Nẵng,"Sql, Html, Javascript, C#, Css"
Frontend Engineer,NAVER VIETNAM,LinkedIn,Frontend Developer,Hồ Chí Minh,"React, Javascript, Html/Css"
